user_label,seed,nclass_user,n_gs,weight,color
not-logged-in-6cf97f8359cfdf7c3880_c1a166878a55a52cb936d2f65981ee34176fd14786ee0ce842335bc7f73a21ec,0,164,0,1,#404040
Sonjas,0,161,0,1,#4F5AAE
chatcher99,0,156,0,1,#514C37
Shqipe,0,155,0,1,#2EB7E5
SpookyJM,0,153,0,1,#21C3D0
OlEnglish,0,152,0,1,#9574C0
Xenomorph_Gary,0,148,0,1,#F397D0
mitchell1963,0,148,0,1,#DD5080
fouriertenn,0,147,0,1,#911844
atmega8,0,147,0,1,#BB5553
john_murrell,0,143,0,1,#F1E9F2
renastro,0,143,0,1,#424856
beardiepaw,0,142,0,1,#639883
not-logged-in-28073ad5a6612da26904_e0d77ac569ba47d503c90109078ca84b890fadb5b2f80cdffd2bc8bc479ebfc0,0,142,0,1,#2F2F2F
PhatBaguette,0,139,0,1,#2B688A
dzejkob,0,139,0,1,#C2E030
23MARTA,0,139,0,1,#1A0FA4
Farsider,0,137,0,1,#74D08B
not-logged-in-4bdbd40e6f33ab8b7ccc_1ed6e78a63d9ddfbfad42159fb569ff6946354e9c38a7ae05f4543e54d6fac89,0,136,0,1,#515151
Pukislav,0,136,0,1,#67E8E7
sharqua,0,136,0,1,#764E50
not-logged-in-dda665be92bdcc48b3ec_093e8b98e9aab66e6b62a33b8557d59d58c3ecd7fc252311cecb9d1e7cde1bee,0,135,0,1,#2D2D2D
I_Maggot_Brain_I,0,133,0,1,#F45A61
Bozkurt,0,133,0,1,#0AB72A
jsmci,0,131,0,1,#E88932
rdlustri,0,130,0,1,#065CE1
venatrix,0,128,0,1,#64D3F9
MMadeira,0,128,0,1,#FD0FEA
not-logged-in-264fe2d5170ef0fe1eac_2f56255074c90b613820d67d36b870a539a181af9fa91fc00aad8789e93c96f8,0,128,0,1,#2E2E2E
Warren_BC,0,127,0,1,#E720B0
AlexandraD16000,0,126,0,1,#EA0444
not-logged-in-d2120550c2955c185944_41a691ec409257f0a6858666b5535899e36d21cdde2172a24142539070b596f3,0,126,0,1,#949494
triccare,0,125,0,1,#4A1783
andsul,0,124,0,1,#524C94
Angel233,0,123,0,1,#DEFA74
tamaragiblon,0,122,0,1,#090BD6
ProximaCentauri_B,0,122,0,1,#9FD1FE
not-logged-in-1ed782644981267bc363_385431234532225014b71331713277bf449accfda53749d41f63b8c61fa077d7,0,117,0,1,#6A6A6A
ugodepayens,0,117,0,1,#DDF4A6
Cole_Ford43,0,116,0,1,#CA0E9B
not-logged-in-ca6a419978cfacf22bd6_f2f01e5dd13416ffb4738b4c3879b052f71440ea4dd1c579310c4b026f7bd95b,0,115,0,1,#6D6D6D
FalaHomma,0,114,0,1,#46E4CC
Mike_Tunstall,0,114,0,1,#74804A
not-logged-in-3f0d316f42cca39a75af_e80de5d2d4d0597cf3493896c6358fae50e8d7e1f7391ba3ed49cba33e84d2cf,0,114,0,1,#303030
aniedzialek,0,113,0,1,#3F3C0B
Nariosyra,0,112,0,1,#E2A234
cbaccino,0,109,0,1,#6F5E99
jkpeter,0,108,0,1,#009FA8
H3lly,0,107,0,1,#90D76F
dzoana,0,107,0,1,#DEBC15
not-logged-in-d7496f6086818e89efc9_578b23a35d34b986e28f74cc7ff044133560ad0bcbb85c6fc7cde48fb199ba07,0,105,0,1,#666666
Nickyg7,0,105,0,1,#497C4A
not-logged-in-65939cd1c59c8eede1f6_d6cff012e47f234b220ae2053598e9a30c516b3fd7e85216b78b97d6e6367b0b,0,104,0,1,#8E8E8E
DrCarmel,0,104,0,1,#C9DEAB
jeremym0101,0,103,0,1,#ACB2F5
bensnyder,0,102,0,1,#B13F80
drajmin,0,102,0,1,#E4C466
Starhunter1967,0,101,0,1,#883D6A
balexan,0,100,0,1,#6A5B70
not-logged-in-790de8883fc402d1a6c3_3e5551ba4ceecec66df99c5b276b7437ee61afeb23082e4613ccb50a67ac5a02,0,100,0,1,#676767
pamiejay,0,99,0,1,#1F2C21
m_ike101,0,99,0,1,#0957B6
gacossey,0,98,0,1,#C7FFB9
not-logged-in-9d63498fe48c93fe7920_d24448d7e1ea4caa5de14996568ed29e9b4fa18cb4640b0e18ba2e0e8df84bc4,0,98,0,1,#595959
not-logged-in-936981be0b322d0c71b6_bb542d046e70498fa6b83bfc3a5863ca3a2c3fff3abaaf07dc8a556c59663e71,0,97,0,1,#6F6F6F
Bimmerx,0,97,0,1,#4BD541
not-logged-in-78dbd7c4d671f21652de_fe128d9bed85181c91b18f55f79a84ef97f10580e2d23d73919d69ac41611b0b,0,95,0,1,#363636
jumpy26,0,95,0,1,#B38079
giulo,0,94,0,1,#745EE9
not-logged-in-175d419ca1d15b42465b_825faf8591c8787daaeac9296c015743017788da8db8f59cd32d4a91b80fdb75,0,94,0,1,#727272
EeliAhrela,0,94,0,1,#6FAA8B
not-logged-in-5163f49c0598a44daf59_d0a45003602145f5aa523d244f0c936c31fcb5e8107f9c4226741d4ed21ff607,0,93,0,1,#292929
not-logged-in-98b7ce7f461ee285e226_9869e2ad17bce5a23316e7117b42e532b1eefeec71a84a78523844b9900700a6,0,93,0,1,#686868
not-logged-in-e3c7deeefded6a1eb9dc_2a200015c4c32ca99723fb5a701928883391fe0cc96f0485a7ff254efa67ef9e,0,93,0,1,#424242
not-logged-in-ef193ad7d279364a0901_99f3a3630967d180bf6cd10513704065a55aabe861fc20785869e447c234a447,0,92,0,1,#252525
PsY4aLL,0,92,0,1,#18D601
Beckibee,0,92,0,1,#3B6EF5
WheelieBob,0,91,0,1,#E1C6A0
LMH1203,0,91,0,1,#723605
jcrume,0,89,0,1,#4CEB69
Stalheim,0,89,0,1,#2EFC8C
Cautator,0,88,0,1,#DA9103
winrare,0,88,0,1,#AE0E4F
not-logged-in-8a439934c099a40e2d1c_ed18153371049c44678ba0d77048d8318eaafd41aef3be83a2d9926d8ec3990a,0,87,0,1,#959595
Dano1412,0,86,0,1,#E56D43
dcortesi,0,86,0,1,#785754
Jackhedge,0,85,0,1,#7608E7
Donfp1rockland,0,85,0,1,#595C53
oarodrig,0,83,0,1,#47E2E5
Lumpy93,0,83,0,1,#281229
Jbagner,0,82,0,1,#189374
Barsuk86,0,82,0,1,#C60083
chumakov,0,82,0,1,#960D25
BauwensJ,0,81,0,1,#760C98
not-logged-in-175d419ca1d15b42465b_027ce8c9923655ac2edee99d9f994161ba4d09f55efa385f47405d7be02e1c26,0,81,0,1,#797979
mharbrow,0,80,0,1,#26C527
Eaglewingfws,0,79,0,1,#0DDD71
Toasty20,0,79,0,1,#623036
Ionepositivo,0,79,0,1,#11E7D6
elilux,0,77,0,1,#289BA3
hmmattingly0018,0,77,0,1,#00C957
galacticodyssey,0,77,0,1,#4E6A83
Astromarchi,0,76,0,1,#0197CD
Iluha,0,76,0,1,#6448C4
dabusch,0,75,0,1,#7F1C9E
slowe0050,0,75,0,1,#289217
JahldeVautban,0,75,0,1,#DBD7BF
nuclearmoose,0,74,0,1,#214DDE
Johnjoharley,0,74,0,1,#6282E9
D_H_,0,73,0,1,#12EEA1
Petzy,0,73,0,1,#23F8BC
marsewilliams,0,72,0,1,#0C234C
keeperas,0,72,0,1,#8ACCA7
csccosecant,0,72,0,1,#E1C7B5
not-logged-in-f0236e7f4776c6c28e95_38c954e2999e432a8b8f64de27343c06cbc2831228443a2f72da07d638d125cc,0,72,0,1,#3D3D3D
rjustice0061,0,71,0,1,#2714D8
vasyannyasha,0,71,0,1,#D46E98
bmerin,0,71,0,1,#A5202C
not-logged-in-05349293ffd0642ea6c7_2da49970e03acea060ca0cdb1bb9ff7ab6f51a556a65ed19280df3f717031b71,0,69,0,1,#888888
Tlalok,0,68,0,1,#3654FF
Jesse8453,0,68,0,1,#352C9A
not-logged-in-bc6c1e501364beef1f86_151e659b7dcedbde7b69bf51831a5d4828a3f4ec4df6342576887edee2eecc5a,0,68,0,1,#626262
rsumaya,0,68,0,1,#83E512
ManSingh06,0,67,0,1,#7E1767
njtalukdar,0,67,0,1,#E50036
NBouchet,0,63,0,1,#AA8B9C
not-logged-in-1b00ca4fa4dcc01ae2ac_8f99ccf16c4167c5b6ab6db2eabfecaa54d3e79768ec73025ed8fd418535dec6,0,62,0,1,#212121
not-logged-in-175d419ca1d15b42465b_4ae99a8593edc5a02d792c554b153c4e64d0dc309cfe162aab91421c4d24dd13,0,62,0,1,#767676
dorklydad,0,62,0,1,#E5C434
not-logged-in-0f8bade05097c4b013f0_84654984701f9cd2730a39b1bc063d4b577b804aba6d142a79446d833bfe89f4,0,62,0,1,#7D7D7D
praosylen,0,62,0,1,#4C5D75
BaibaBond,0,62,0,1,#A59305
BraverThought,0,61,0,1,#722BE4
mikepapo,0,61,0,1,#F3FAF2
TimothyCatron,0,61,0,1,#A40F76
not-logged-in-21df47f153e86a3e3e41_fb7437f1a7317cf46f6687187230339d01ace2faad79d45473956ac6f722b5aa,0,60,0,1,#4C4C4C
Melanie_Milsted,0,60,0,1,#6450E3
crispernaki,0,59,0,1,#86D275
not-logged-in-88222b2fe044b7dc20e7_b6620f7665e2a5cc3531263478eb252c8a0c991f24ec56b7209dc6a4516da776,0,59,0,1,#202020
aclesh,0,59,0,1,#55B558
koleon03,0,59,0,1,#37B9D6
klok46,0,58,0,1,#09168E
LifeScientist,0,58,0,1,#0FBF6D
equidad1,0,58,0,1,#1A3149
NEOfight,0,58,0,1,#4A24A4
not-logged-in-26adc0eeec319a9ee7c1_973fd8a0d73d73726a2937bbfebdd686bf93f7b93d6bf714496eb130bcad186c,0,57,0,1,#717171
kbs0316,0,57,0,1,#4839FB
not-logged-in-face9f8839f65e037c4d_483755e171b5ad954d344d90d4bb96486f18ef85c386a8dc3973565f7b6dc77f,0,57,0,1,#848484
ine,0,57,0,1,#15D02D
not-logged-in-fc3100110b17e3001716_04e7cbb9e070abed9603e413ec4d2b51955c95116e7f124841659671a81f861a,0,55,0,1,#909090
lionni,0,55,0,1,#B01AD0
mikedyke,0,55,0,1,#009848
JahKewn,0,55,0,1,#67461C
not-logged-in-81f4f2880f3382723c97_f8822fb95564aba1d46e3558cdb7762930e3c93b66692bb74e0ee9a0792a56c0,0,55,0,1,#474747
Gugol,0,55,0,1,#0664E1
not-logged-in-f8b13e896d4284c86353_a0ae612f0a03094d2475a91e610b58e80309997c052550fd7db534d8b21bb931,0,55,0,1,#454545
joyson_chacko,0,54,0,1,#368DE4
ast0037,0,54,0,1,#90378F
Claudio_Pulcher,0,54,0,1,#93932D
chrostek,0,54,0,1,#9B5CE7
jwilhite0011,0,53,0,1,#A6D618
not-logged-in-e222d62483fa1e1aadcb_6cbd7a1541cb7cfc7584b3337978f9eff74b8178f8f7a4d9658a63b26ee78a70,0,53,0,1,#6F6F6F
zzw,0,53,0,1,#CF8040
passerby,0,52,0,1,#54769D
MaizieStewart,0,52,0,1,#C42044
chipfluty,0,52,0,1,#771111
Kayline,0,52,0,1,#23D5C9
KSReinders,0,51,0,1,#D289E5
petyerakne,0,51,0,1,#D41F4D
not-logged-in-175d419ca1d15b42465b_926c69f0ebfcaaae94c889a7ee192bc0eb6e74e245845bf2104431cc5be00cfe,0,51,0,1,#474747
I_wish_I_can_study_at_Starfleet_Academy,0,51,0,1,#302B27
not-logged-in-92c5006c902cbf56bf96_d0a45003602145f5aa523d244f0c936c31fcb5e8107f9c4226741d4ed21ff607,0,50,0,1,#5F5F5F
not-logged-in-a3c158af29100979dbf9_fa3553e83efcd37a56b905cab75995ff122e3aa91c782754d9e509dc31a32fca,0,50,0,1,#686868
not-logged-in-c447022955b2e7ab2962_45f65c0753c5f9be4302e94347c66afca786bbb78e177893c70d81a7e34de2d2,0,50,0,1,#969696
hjarman0002,0,50,0,1,#151CE6
not-logged-in-ca4ea0cbae333473ea2a_6478441db258587aa5a2d22129277c651da651338578ac1413b267ae6780fd01,0,50,0,1,#646464
not-logged-in-38a5487be71e08fac601_4c329e5ac1c36f3d59a60fa349ca4d024dbbd830fa08eca01e6caddd597f2e0d,0,50,0,1,#404040
jf225037,0,50,0,1,#05BA8A
carolynjoy,0,50,0,1,#993CF1
not-logged-in-fa967db9a86692506d9f_634934f23c5d11de9388634a6b228232f19dc56531edc21f2261bd0edc034546,0,50,0,1,#757575
Elessagos,0,49,0,1,#455F9A
not-logged-in-ef193ad7d279364a0901_64c00eb717afd7792241c71d1d0b14a1b3b33242c0a1003f4c821a26268065d9,0,49,0,1,#3E3E3E
Brian288,0,49,0,1,#DCEDAB
not-logged-in-4fe9c4e049b4854321b3_38deae8e4001ba3fc745b6d86ca7625313d977ff62c58930357ab61f0ec82c33,0,49,0,1,#525252
alaintomasini,0,49,0,1,#EF7CE3
luca25136,0,49,0,1,#0295E2
dstarick9,0,49,0,1,#97C6A3
not-logged-in-cda54a208c1f7443561c_e78db40675742a3a546aae1cea17f9ceb70b7b3175b4f601137abd53b67640bd,0,49,0,1,#727272
not-logged-in-59e50796ffd3a8df8433_8dd0fec2275a1f23b81faba23434157cbe0091c72b7642e0a8fe56db2216ec42,0,48,0,1,#565656
jesposito12,0,48,0,1,#261522
not-logged-in-48b9bc56530bec7a4ef5_a784bb17bff7ced39e808d4ee889d96bdf326f4d1e761739db14f000b12381aa,0,48,0,1,#828282
not-logged-in-abf6fe28c9c3072a598a_dec5e868fa68dba967b1868811035e56afd4a228747274021523512dbee3c3cb,0,48,0,1,#1A1A1A
JVermeulen1,0,48,0,1,#063B1B
not-logged-in-e09285b04dc806a99950_ae6ec4b1b90a346359dfdc2390fc0ea4e2c7b2fe8896b12249ea1fd05a95e5fa,0,48,0,1,#292929
Gnash,0,48,0,1,#EB4828
MatthewHicks,0,47,0,1,#04CF26
not-logged-in-4da013471b4b89b68a9f_82691bc3bf8994c897b68d2878dd41c0e293549c1f8da14fac31e9abdb35002a,0,47,0,1,#929292
not-logged-in-fc8ab9fcae26c1fbbd8d_e18f4200eb5b568891b6757b7a4790960d86a4edbc7890c173d973ce6fe018db,0,46,0,1,#1E1E1E
not-logged-in-ef193ad7d279364a0901_09f383ba114a9160d75ac1f2e7ac4399b51b69012ea324eaea510fc806c2014c,0,46,0,1,#383838
DeeLTom,0,46,0,1,#CB5239
not-logged-in-78dbd7c4d671f21652de_4e8245ba96ce97822dad48d16e9ea8f53418769564b5c9838c9a9d45bec974b3,0,46,0,1,#888888
little_lil,0,46,0,1,#4BB093
patricio1968,0,46,0,1,#435C8F
not-logged-in-9e8073122eae30701e32_b9c80d4898fc7b4121a13bae3e5d0e619b3fd3dc48afd0b6207f27c0245f798f,0,45,0,1,#565656
not-logged-in-48b9bc56530bec7a4ef5_f2580a579702c45dff10ac42f3598c51c136fc15e05d03a66cfc8e41e3a68b7d,0,44,0,1,#969696
not-logged-in-bdecf9e498cb28a0c13a_d5bae31dd8e5b3ea5854120a6584b6eb3327acc6bce0a948b05317855ce5cdf7,0,44,0,1,#4C4C4C
ET_Overload,0,44,0,1,#F4EC9E
not-logged-in-c1d39bf877360cf7daf7_c98568474bdc16d6eddc1cdacb9afddb97c99c58e48438aaa81a5cd9dd2a7e70,0,44,0,1,#8F8F8F
weatherhead.andrewgooglemail.com,0,44,0,1,#9AF831
not-logged-in-28d1c5fbe1f425fa8c54_a9e1c4b23dac07db0bf5a2b8fa90ebd2ecc34658ea521de6ffaed4e537b17d58,0,43,0,1,#4E4E4E
AndriyOzimko,0,43,0,1,#8C3D19
kenytonin,0,43,0,1,#E197A1
KolinDin,0,43,0,1,#7BA65F
Snowman1B9,0,43,0,1,#4A7F74
pamsci,0,43,0,1,#3208C6
Magnesia,0,43,0,1,#A454E0
