user_label,seed,nclass_user,n_gs,weight,color
SeppoH,0.0,213,0,1.0,#7CF9C8
nektons,0.0,207,0,1.0,#736741
guru2743,0.0,207,0,1.0,#2F993C
astro.c.r.,0.0,204,0,1.0,#A6CD78
BatKwak,0.0,204,0,1.0,#0EDE26
jargoetz,0.0,203,0,1.0,#984BE1
ceperman,0.0,203,0,1.0,#AAA743
pavon,0.0,200,0,1.0,#F91F69
mpc952,0.0,199,0,1.0,#160633
Interestellar,0.0,197,0,1.0,#482D26
docteur2356,0.0,195,0,1.0,#50537C
jegr,0.0,192,0,1.0,#CBC6F4
Carlazevedo,0.0,192,0,1.0,#069D78
Kunama158,0.0,186,0,1.0,#9D6C62
Wzl.jupp,0.0,183,0,1.0,#41DF81
jsmci,0.0,182,0,1.0,#0A4D74
highc51239,0.0,181,0,1.0,#D226F0
not-logged-in-5c538f70b8c04eb3eefb_c6092a64d9ae4b48c4115f3a560551c57236d2015ad9a446527cb1185d091dab,0.0,181,0,1.0,#565656
pjbrady47,0.0,177,0,1.0,#8DAE83
Jsmathematics,0.0,177,0,1.0,#551518
not-logged-in-cd681dd9ead770a3b852_1640a32f15c3d2b65d480857932cee1a5e21cd5398ba6cdfbfdd4cce813b94a4,0.0,176,0,1.0,#767676
bartk,0.0,176,0,1.0,#D5E651
MickAsteroid,0.0,175,0,1.0,#9DC212
OlEnglish,0.0,174,0,1.0,#1AA2AE
not-logged-in-236221d4997ff24573a6_a5d68ab5dfc26abf18859517b014c47324345e640656a5209102eccd098ccec6,0.0,174,0,1.0,#4E4E4E
Pukislav,0.0,173,0,1.0,#432602
Harshibalijepalli,0.0,172,0,1.0,#34B040
cassi.astronomy,0.0,170,0,1.0,#5711FB
sheppards,0.0,169,0,1.0,#D88543
Henri-Levich,0.0,168,0,1.0,#8F8FF7
not-logged-in-2817114ce2b25d27c533_149ede01ce9c7f0c90927f1990d8128d9dab90aff8e5527be38736d06f299629,0.0,167,0,1.0,#393939
merinoff,0.0,166,0,1.0,#28E16F
eGregarious,0.0,165,0,1.0,#58234B
not-logged-in-65351a676a68632a04a2_9ffa20f526525bd08b1e581aa91e560081c1b5d97ab7690f0612ec4995f02686,0.0,165,0,1.0,#575757
fulkdj,0.0,164,0,1.0,#082C72
LehmannPeggy,0.0,163,0,1.0,#7C8C90
npaklin,0.0,163,0,1.0,#F14B3A
CalderJones,0.0,162,0,1.0,#927E40
hier-bin-ich,0.0,162,0,1.0,#9523AF
Pedrovsa,0.0,161,0,1.0,#8CC3CC
Tynx07,0.0,161,0,1.0,#92DAE1
ugodepayens,0.0,161,0,1.0,#927520
n2nzd,0.0,159,0,1.0,#C4D850
VinceVega,0.0,158,0,1.0,#C110DE
Inom,0.0,156,0,1.0,#114821
ellieoban,0.0,155,0,1.0,#C4C624
tomdeb,0.0,154,0,1.0,#C363DC
eperozzi,0.0,151,0,1.0,#BA8A1D
oswaldo_astro,0.0,150,0,1.0,#8DBAC8
PlainSkeptic,0.0,150,0,1.0,#92001D
Ziyadelghazi,0.0,147,0,1.0,#FD7CFE
daveinaustin,0.0,145,0,1.0,#67D054
Davinelulinvega,0.0,144,0,1.0,#6E75B4
not-logged-in-65bc5688a60ea99cae82_340455399cd7159147822f6cd3aec5219301a9315957a4ef2322c69ff1ee1790,0.0,143,0,1.0,#262626
ben_colling,0.0,142,0,1.0,#43467F
Nickyg7,0.0,142,0,1.0,#A49FB3
not-logged-in-06eeaf231503ededd864_a16e33d54d33b2affb87baa7860a9bcfdac2d3574e307b370664cf0462d3a023,0.0,142,0,1.0,#6B6B6B
RosalindNS,0.0,140,0,1.0,#9AE3ED
RichardjParsons,0.0,139,0,1.0,#11DFBC
not-logged-in-220188b6bdba8d79de63_978f880baaeb31d99d18bd0dfce3dba90c8d55311a637a575b42bbad21558cb8,0.0,134,0,1.0,#828282
Vort,0.0,134,0,1.0,#620C59
Mekki,0.0,134,0,1.0,#6F3E76
acer35,0.0,134,0,1.0,#98CCAD
Michael_Bink,0.0,133,0,1.0,#2EFDC9
ollyc,0.0,132,0,1.0,#C52E74
Jardy57,0.0,132,0,1.0,#13E9F7
KSReinders,0.0,131,0,1.0,#CC95E5
beccapanda,0.0,131,0,1.0,#4E25E1
dabusch,0.0,130,0,1.0,#B7C3F5
not-logged-in-97ce1be9eba467c3750b_08dcf89d0586ba136afd320c84d97c341cf5ddef16f5d3964c2208b523630fba,0.0,130,0,1.0,#8E8E8E
canopus228,0.0,130,0,1.0,#50C7C2
not-logged-in-ad7231c6fc9160271da7_611a64afe0d8d04b78942a814df1d2dac4e3f00b23bb3b2883d6b1b57a332009,0.0,130,0,1.0,#393939
Reespot,0.0,129,0,1.0,#C814BC
NUT_ACE,0.0,127,0,1.0,#93161D
Herakles,0.0,127,0,1.0,#E0D7BD
not-logged-in-2b233316daf2ad39d2e7_500e1817883c54591d2cd18ffde21654177008083ad19c5bc3f6383faafb5bc2,0.0,126,0,1.0,#828282
not-logged-in-f6fd3b92f8dc9bc0d319_23cf25257a4ff72447e582e143d174f82260c3608afc2353005d270e9bafaa52,0.0,126,0,1.0,#444444
not-logged-in-b24d168f756760a883bf_c6c79d0775d05c1d52bd38aee2890a3771876450479256c66ac02b366c498d1d,0.0,125,0,1.0,#6B6B6B
Chaturanga,0.0,125,0,1.0,#E2CDD7
salo113,0.0,125,0,1.0,#4D6F43
SaraGR,0.0,123,0,1.0,#6637AF
ameenkhwaja,0.0,123,0,1.0,#B7AAD2
SeamusOpea,0.0,122,0,1.0,#8FB698
yladdy,0.0,121,0,1.0,#54D559
not-logged-in-c0ce9181a7f33ac5d874_b7d570934810c23c56e30db7389ed34de4dc748e8c32d6a6bb6c3af43b534680,0.0,121,0,1.0,#7B7B7B
lpspieler,0.0,119,0,1.0,#4C3714
PhotoTJH,0.0,119,0,1.0,#7EE3FB
pasatija,0.0,118,0,1.0,#C5FDB7
Proniir882,0.0,118,0,1.0,#0110F2
prunesquallor,0.0,117,0,1.0,#8335B0
mitchell1963,0.0,117,0,1.0,#2556AD
HystericalOnion,0.0,117,0,1.0,#EA1CEE
HannaMironovich,0.0,116,0,1.0,#848D4B
kendal666gmail.com,0.0,116,0,1.0,#288842
Oreo2201,0.0,116,0,1.0,#A75185
seafury7,0.0,116,0,1.0,#6FD5C8
RobDavison,0.0,115,0,1.0,#BB6CDF
Biomikes,0.0,115,0,1.0,#16F9BC
Angel13,0.0,115,0,1.0,#8C6C96
Guzyx,0.0,114,0,1.0,#830F1F
chumakov,0.0,114,0,1.0,#125C9C
melmasllo,0.0,114,0,1.0,#980D17
leriis,0.0,112,0,1.0,#EED997
tanithm,0.0,112,0,1.0,#0F2A39
lizspbrazil,0.0,112,0,1.0,#8C432A
not-logged-in-e6c57541546340f429f5_c91310248361c51593f13041c7e31ae48a12cc07699a9aa9f06376cecaae7040,0.0,111,0,1.0,#2A2A2A
MayhemRed,0.0,111,0,1.0,#C165E4
krahling,0.0,110,0,1.0,#E91C74
chrostek,0.0,110,0,1.0,#01992E
drdah,0.0,109,0,1.0,#7FDCDE
SchwarzschildR,0.0,108,0,1.0,#54ACAA
not-logged-in-021e55b6082bc32881d6_8d503e8bc335c5d5f00c8e62de395a826f09c67c9db87835472a866266698ba4,0.0,106,0,1.0,#5A5A5A
cjhbtn,0.0,106,0,1.0,#9BE675
not-logged-in-eb967d57d13df2856330_43f44b88367224a7b6f1d2246f2b17dd81d68c774857eeb67ea71e9a4404e7ea,0.0,106,0,1.0,#838383
fouriertenn,0.0,106,0,1.0,#23C73B
N5bz,0.0,105,0,1.0,#5F9F22
Rot,0.0,105,0,1.0,#39E4F2
kavarley1,0.0,104,0,1.0,#E8A2A9
Ozzi8,0.0,104,0,1.0,#F3F91E
not-logged-in-1666e178d76e58f388df_78b1e37a497b59f4ee09695ef7531f956eb753a067f650a2543af0a257f960fd,0.0,103,0,1.0,#363636
Aquaschaf,0.0,102,0,1.0,#912342
not-logged-in-9bceb1c1e69bc9468840_5f787ed2eb3c4e740f424d0597ab7e04ef5660e5983f71d91100717fd39647cd,0.0,102,0,1.0,#222222
ZannaDragon,0.0,102,0,1.0,#2A93BB
NorthWind,0.0,102,0,1.0,#D272B2
bmerin,0.0,101,0,1.0,#5AD2C0
WEBs_in_space,0.0,100,0,1.0,#67B832
DrSabrinaCaldwell,0.0,99,0,1.0,#007202
tomburgerpie,0.0,99,0,1.0,#A23E98
Mortenstark,0.0,99,0,1.0,#BDC2F9
ilya.Shyokin,0.0,98,0,1.0,#224E42
z-bob,0.0,98,0,1.0,#7963E9
Heatherling,0.0,98,0,1.0,#F6C052
LukeM714,0.0,97,0,1.0,#E2CEFE
patricio1968,0.0,97,0,1.0,#61E597
fozzie,0.0,97,0,1.0,#9D91BB
not-logged-in-cfdfca060e6dc614e4a4_b03c1f264fc00f4d78b7eeaa714b8f8900f6035c01400794fabc60b02fb469f2,0.0,96,0,1.0,#474747
PooyaBabazadeh,0.0,96,0,1.0,#5836C5
jiffyjoe,0.0,95,0,1.0,#3679C9
NEOfight,0.0,95,0,1.0,#A459D6
Ferretie,0.0,95,0,1.0,#FD316D
saffyre13,0.0,95,0,1.0,#96E6C7
BRutherford,0.0,95,0,1.0,#81342C
epitalon,0.0,94,0,1.0,#949CD0
Lunar2017,0.0,94,0,1.0,#5BCF59
